date;grand;moyen;petit;mois
2023-01-01;11;12;13;January
2023-01-04;661;662;663;January
2023-01-06;661;662;663;January
2023-01-07;16;17;18;January
2023-01-07;31;32;33;January
2023-01-08;736;737;738;January
2023-01-10;761;762;763;January
2023-01-11;731;732;733;January
2023-01-13;31;32;33;January
2023-01-14;751;752;753;January
2023-01-14;766;767;768;January
2023-01-15;586;587;588;January
2023-01-17;721;722;723;January
2023-01-18;1;2;3;January
2023-01-20;751;752;753;January
2023-01-21;581;582;583;January
2023-01-21;726;727;728;January
2023-01-22;746;747;748;January
2023-01-24;731;732;733;January
2023-01-25;741;742;743;January
2023-01-27;581;582;583;January
2023-01-28;6;7;8;January
2023-01-28;736;737;738;January
2023-01-29;701;702;703;January
2023-02-01;51;52;53;February
2023-02-04;601;602;603;February
2023-02-05;56;57;58;February
2023-02-08;541;542;543;February
2023-02-11;671;672;673;February
2023-02-12;546;547;548;February
2023-02-15;691;692;693;February
2023-02-18;681;682;683;February
2023-02-19;706;707;708;February
2023-02-22;431;432;433;February
2023-02-25;696;697;698;February
2023-02-26;436;437;438;February
2023-03-01;591;592;593;March
2023-03-04;61;62;63;March
2023-03-05;596;597;598;March
2023-03-08;81;82;83;March
2023-03-11;41;42;43;March
2023-03-12;86;87;88;March
2023-03-15;551;552;553;March
2023-03-18;611;612;613;March
2023-03-19;556;557;558;March
2023-03-22;471;472;473;March
2023-03-25;561;562;563;March
2023-03-26;476;477;478;March
2023-03-29;451;452;453;March
2023-04-01;71;72;73;April
2023-04-02;456;457;458;April
2023-04-05;201;202;203;April
2023-04-08;121;122;123;April
2023-04-09;206;207;208;April
2023-04-10;111;112;113;April
2023-04-12;136;137;138;April
2023-04-15;621;622;623;April
2023-04-16;131;132;133;April
2023-04-19;446;447;448;April
2023-04-22;531;532;533;April
2023-04-23;441;442;443;April
2023-04-26;526;527;528;April
2023-04-29;351;352;353;April
2023-04-30;521;522;523;April
2023-05-01;501;502;503;May
2023-05-03;481;482;483;May
2023-05-06;141;142;143;May
2023-05-07;486;487;488;May
2023-05-08;506;507;508;May
2023-05-10;171;172;173;May
2023-05-13;211;212;213;May
2023-05-14;176;177;178;May
2023-05-17;391;392;393;May
2023-05-18;216;217;218;May
2023-05-20;241;242;243;May
2023-05-21;396;397;398;May
2023-05-24;376;377;378;May
2023-05-27;221;222;223;May
2023-05-28;371;372;373;May
2023-05-29;311;312;313;May
2023-05-31;651;652;653;May
2023-06-03;331;332;333;June
2023-06-04;656;657;658;June
2023-06-07;821;822;823;June
2023-06-10;261;262;263;June
2023-06-11;826;827;828;June
2023-06-14;361;362;363;June
2023-06-17;401;402;403;June
2023-06-18;366;367;368;June
2023-06-28;426;427;428;June
2023-07-01;831;832;833;July
2023-07-02;421;422;423;July
2023-07-05;271;272;273;July
2023-07-08;346;347;348;July
2023-07-09;276;277;278;July
2023-07-12;321;322;323;July
2023-07-14;791;792;793;July
2023-07-15;801;802;803;July
2023-07-16;326;327;328;July
2023-07-19;231;232;233;July
2023-07-22;781;782;783;July
2023-07-23;236;237;238;July
2023-07-26;401;402;403;July
2023-07-29;406;407;408;July
2023-07-30;786;787;788;July
2023-08-02;296;297;298;August
2023-08-05;796;797;798;August
2023-08-06;291;292;293;August
2023-08-09;336;337;338;August
2023-08-12;361;362;363;August
2023-08-13;331;332;333;August
2023-08-15;656;657;658;August
2023-08-16;226;227;228;August
2023-08-19;266;267;268;August
2023-08-20;221;222;223;August
2023-08-23;316;317;318;August
2023-08-26;181;182;183;August
2023-08-27;311;312;313;August
2023-08-30;146;147;148;August
2023-09-02;381;382;383;September
2023-09-03;141;142;143;September
2023-09-06;711;712;713;September
2023-09-09;641;642;643;September
2023-09-10;716;717;718;September
2023-09-13;161;162;163;September
2023-09-20;531;532;533;September
2023-09-23;626;627;628;September
2023-09-24;536;537;538;September
2023-09-27;461;462;463;September
2023-09-30;511;512;513;September
2023-10-01;466;467;468;October
2023-10-04;151;152;153;October
2023-10-07;156;157;158;October
2023-10-08;516;517;518;October
2023-10-11;126;127;128;October
2023-10-14;91;92;93;October
2023-10-15;121;122;123;October
2023-10-18;101;102;103;October
2023-10-21;631;632;633;October
2023-10-22;106;107;108;October
2023-10-25;456;457;458;October
2023-10-28;566;567;568;October
2023-10-29;451;452;453;October
2023-11-01;636;637;638;November
2023-11-04;476;477;478;November
2023-11-05;631;632;633;November
2023-11-08;556;557;558;November
2023-11-11;86;87;88;November
2023-11-12;551;552;553;November
2023-11-15;46;47;48;November
2023-11-18;616;617;618;November
2023-11-19;41;42;43;November
2023-11-22;571;572;573;November
2023-11-25;596;597;598;November
2023-11-26;576;577;578;November
2023-11-29;431;432;433;November
2023-12-02;61;62;63;December
2023-12-03;436;437;438;December
2023-12-06;686;687;688;December
2023-12-09;676;677;678;December
2023-12-10;681;682;683;December
2023-12-13;541;542;543;December
2023-12-16;701;702;703;December
2023-12-17;546;547;548;December
2023-12-20;811;812;813;December
2023-12-23;581;582;583;December
2023-12-24;816;817;818;December
2023-12-27;741;742;743;December
2023-12-30;1;2;3;December
2023-12-31;746;747;748;December
2024-01-03;11;12;13;January
