no;km;parcours
1;55;MONTAUBAN – D61 – D125 – MONTFORT/MEU – D125 (direction Breteil) – La Grande Porte – à gauche VC – BEDEE (centre) – D72 – IRODOUËR – D70 (direction Bécherel) – Chau de Caradeuc – à gauche D20 – D220 – MEDREAC – à gauche D21 – LANDUJAN – D71 – MONTAUBAN
2;46;MONTAUBAN – D61 – D125 – MONTFORT/MEU – D125 (direction Breteil) – La Grande Porte – à gauche VC – BEDEE (centre) – D72 – IRODOUËR – D70 (direction Bécherel) – Chau de Caradeuc – à gauche D20 – à gauche D71 – LANDUJAN – D71 – MONTAUBAN
3;34;MONTAUBAN – D61 – D125 (direction Montfort/Meu) – à gauche après la Ville Lesné D31 – BEDEE (centre) – D72 – IRODOUËR – à gauche D21 – LANDUJAN – D71 – MONTAUBAN
6;55;MONTAUBAN - D71 - LANDUJAN – à gauche D21 - MEDREAC – à droite D220 - D20 - Chau de Caradeuc - à droite D70 - IRODOUËR - D72 - BEDEE (centre) - à gauche et à droite VC (direction Breteil) - La Grande Porte - à droite D125 - MONTFORT/MEU - D125 - D61 - MONTAUBAN
7;46;MONTAUBAN - D71 - LANDUJAN - D71 – D20 - Ch au de Caradeuc - à droite D70 - IRODOUËR - D72 - BEDEE (centre) - à gauche et à droite VC (direction Breteil) - La Grande Porte - à droite D125 - MONTFORT/MEU - D125 - D61 - MONTAUBAN
8;34;MONTAUBAN - D71 - LANDUJAN - à droite D21 - IRODOUËR – à droite D72 - BEDEE (centre) - à droite D31 (direction Iffendic) - à droite D125 (direction Boisgervilly) - D61 - MONTAUBAN
11;47;MONTAUBAN – D61 – BOISGERVILLY – à gauche D71 – ST MAUGAN – D71 – ST MALON/MEL – à droite D31 (direction Concoret) – au carrefour, 2ème à gauche VC201 (direction Gaël) – à droite D773 – GAËL – à droite VC – ST ONEN LA CHLLE – VC (direction Boisgervilly) - D59 – LE CROUAIS – D59 – D28 – La Brohinière – MONTAUBAN
12;41;MONTAUBAN – D61 – BOISGERVILLY – à gauche D71 – ST MAUGAN – D71 – ST MALON/MEL – à droite D31 (direction Concoret) – au carrefour, tout droite D59 – MUEL – D59 – ST ONEN LA CHLLE – VC (direction Boisgervilly) – D59 – LE CROUAIS – D59 – D28 – La Brohinière – MONTAUBAN
13;31;MONTAUBAN – D61 – BOISGERVILLY – à gauche D71 (direction St Maugan) – à droite VC (direction St Onen) – à droite D59 – ST ONEN LA CHLLE – VC (direction Boisgervilly) – D59 – LE CROUAIS – D59 – D28 – La Brohinière – MONTAUBAN
16;47;MONTAUBAN – La Brohinière – D28 – D59 – LE CROUAIS – D59 – VC – ST ONEN LA CHLLE – VC - GAËL - D773 (direction Paimpont) et 1ère à gauche VC - D31 - ST MALON/MEL - D71 - ST MAUGAN - D71 - BOISGERVILLY - D61 - MONTAUBAN
